Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
Stab 3_PC_GL_ -  Form GL 1162 CP Commercial General Liability Coverage Enhancement Endorsement is not getting inferred ,XXX-32921,208968,Done,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
SMARTCOMM - P-503 Arizona Independent Contractor Premium Advisory - updated content,EEE-1745,208967,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_Submission_CA7VehicleUsageCredit_PC_Ext is triggering twice in the routine,XXX-32920,208966,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
Stab 3_PC_GL_-CG 21 06 is getting inferred even when Exclusion- Access Or Disclosure Of Confidential Or Personal Information And Data-related Liability-With Limited BI Exception is added,XXX-32918,208952,Requirements,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - Vehicle - Additional records loaded with sum(AddlRetPremAmt) = 0,AAA-5126,208944,Done,AAA,AAA,High,Williams,,,Coding
Claim Severity Code Improvement,BBB-7888,208943,Development,BBB,EDW Production Operations,Medium,Williams,,,Coding
Correct Earnings In EDW & AL - Policy 23LWF12375,BBB-7887,208942,Done,BBB,EDW Production Operations,High,David,,,Coding
Stab 3_PC_GL_ - Exclusion - Access Or Disclosure Of Confidential Or Personal Information And Data-related Liability - With Limited BI Exception is appearing twice for selection when there is only 'Products/Completed Operations' subline on the Policy,XXX-32913,208937,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab 3_PC_GL_ - Form IL 09 17 RESIDENT AGENT COUNTERSIGNATURE ENDORSEMENT is not getting inferred when the Condition 'Resident Agent Countersignature Endorsement' exists on the policy,XXX-32912,208936,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab 3_PC_GL_ - Form IL 00 03 09 08 Calculation of Premium is not getting inferred when the Condition 'Calculation of Premium' exists on the policy,XXX-32911,208934,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
QA : ODS-DetailCoverage : Incorrect PremiumAmounts populated in COMPSTGRP flow ,AAA-5125,208933,Done,AAA,AAA,High,Peter,,,Coding
Requirement Update: MEL : Rate Mode drop down values,XXX-32910,208932,Ready for QA,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Requirements
[OnHold - clarification pending]Stab3_PC_CA Reporting Pay Plan is not available in QA06env,XXX-32909,208931,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Stab3_PC_CP_NewSubmission_CP 1181 CP Montana Amendatory Endorsement form triggered when MT is not a base state & added as a Risk/location,XXX-32908,208930,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
July  Release: [EC1-659]: AccountServiceCommitments: Few records are missing in EDW table.,DDD-5811,208929,Done,DDD,EDW QA COE,Medium,Williams,,,Coding
Stab 3_CC - CIM Claim Render Exception while opening risk unit coverage ,XXX-32907,208924,Done,XXX,ANIC P&C Migration,High,Williams,ClaimCenter,,Coding
Stab3-PC-IM-Contractors Equipment- IM 7027 and IM 7032 are not generated though coverage Income Coverage provided  is selected as Yes,XXX-32906,208919,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Contractors Equipment-Manual Premium tab- Your Tools -Limit for Any One Tool  and Total Limits at Inception are displayed wrongly,XXX-32905,208918,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Contractors Equipment-Manual Premium tab- Schedule Equipment Limit is displayed as 0,XXX-32904,208916,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
3.1 P&C ODS - DetailCoverage table - Auto - Vehicle - The column PremiumAmount is incorrectly populated,AAA-5120,208915,Done,AAA,AAA,High,Williams,,,Coding
Stab3_PC_CU_ Form screen- Form name not correct- PN -304,XXX-32903,208914,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Quote screen - Minimum premium not available  on quote screen ,XXX-32902,208913,Ready for Dev,XXX,ANIC P&C Migration,Low,Peter,PolicyCenter,,Coding
Stab3_PC_CP_NewSubmission_CP0132 Arizona Changes & IL 02 58 ARIZONA CHANGES - CANCELLATION AND NONRENEWAL form triggered when AZ is not a base state & added as a Risk/location,XXX-32901,208912,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - Vehicle - Records got dropped,AAA-5119,208911,Ready For Test,AAA,AAA,High,Williams,,,Coding
Stab3_PC_CU_Manuscript - Reason for form field should not be mandatory,XXX-32900,208910,Cancelled,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
ODS Detail Coverage Inland table - IM - Incorrect values populated for premium amount column,AAA-5118,208909,Done,AAA,AAA,High,Martin,Stage to AAA,,Coding
ODS_DetailCoverageInland - CoverageExpirationDate - Incorrect values populated in CoverageExpirationDate,AAA-5117,208908,Done,AAA,AAA,Very High,Martin,Stage to AAA,,Coding
ODS_DetailCoverageInland - CoverageEffectiveDate - Incorrect values populated in Coverage Effective Date ,AAA-5116,208907,Done,AAA,AAA,Very High,Martin,Stage to AAA,,Coding
Stab3_PC_CU_Exclusion - Exclusion should not be avaialble,XXX-32899,208906,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Additional Coverage - Designated Project(s) Aggregate Limit Of Insurance not available,XXX-32898,208905,Cancelled,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
LTI - CA Waivers not generating as expected,EEE-1742,208873,To Do,EEE,PolicyCenter,High,Martin,PolicyCenter,,Coding
UAT1 - Form IM 7007 Contractors Equipment > Part Level Coverages Fields to be Removed,XXX-32895,208859,To Do,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Policy number CA1200769 not showing in pcx_ca7liabilitylimit table in DEVSEC,AAA-5112,208853,Done,AAA,AAA,High,Peter,,,Coding
UAT1 - when Contractors Equipment - Blanket Equipment form is selected Manual Premium tab does not display values and miscellaneous is listed twice,XXX-32893,208849,In UAT,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
PE: Policies Tab WC Prefixed policies not showing on the In Force tile,GGG-1363,208846,Ready for Dev,GGG,GW Cloud Digital,Medium,Williams,,,Coding
UAT1 - Umbrella - Underlying MEL (standalone) Not pulling Through,XXX-32892,208845,Requirements,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
PE/CE: Policy Documents Not showing previous policy term documents after renewing to WC policy number,GGG-1362,208844,Ready for Dev,GGG,GW Cloud Digital,High,Williams,,,Coding
UAT1 - In UI when dropdown selected for Coverage Part Form the respective checkbox is not automatically checked,XXX-32891,208842,In Dev,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Update ANIC Agency Lookup Table (ANICAgencyMapping) - Agency U03,BBB-7883,208840,Done,BBB,EDW Production Operations,Critical,Williams,,,
UAT1 - Validation error displays when 3 digits after decimal point should error when 5 digits are entered,XXX-32890,208838,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 - Form IM 7007 (ed 01 12 and 02 12) Under Manual Premium Tab fields need to be added under 'Blanket Equipment Rating',XXX-32889,208837,Cancelled,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_BC MEL Lob_ Audit charges are getting misplaced to different Invoice streams,XXX-32888,208836,Ready for QA,XXX,ANIC P&C Migration,High,Peter,BillingCenter,,Coding
Stab3_Integ_Prometrix-CPCPP- Exhaustive list should not be display in protection class dropdown when Protection class values are returned from prometrix.,XXX-32886,208834,Done,XXX,ANIC P&C Migration,Very High,Martin,Integrations,,Coding
"Stab3_Rating_Commercial Auto New Business_""CA7SaveandZeroOutModifiers_Ext"" not applied to ""Commercial auto"" applicable coverages leading to Schedule Mod applied twice to Term Amount",XXX-32885,208832,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab3_Rating_Commercial Auto-Scheduled modifiers not getting applied for the applicable coverages ,XXX-32884,208831,Done,XXX,ANIC P&C Migration,Critical,Williams,Rating,,Coding
PROD| GL Paid Loss- 26 records and GL Written Premium- 476 records got errored out|07/17,BBB-7882,208830,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
"Jasper upgrade_PC_WC_""Bind options"" button is disabled for AK State quote",YYY-16344,208829,In Dev,YYY,ANIC WC Migration,High,Martin,Jasper,,Coding
DCNs are not populating in CC for CorVel received medical documents,CC-5236,208828,Done,CC,Claim Center,Medium,David,ClaimCenter,,Coding
PROD| AccessLayer_NonEDW_Agency_Relator_Daily failure due to bad data|07/17,BBB-7881,208827,Done,BBB,EDW Production Operations,Medium,David,,,Coding
Corvel Policy Data Feed - few changes,BBB-7884,208826,Development,BBB,EDW Production Operations,Very High,David,,,Coding
IM-Policy - (XXX-31394) Unable to see the premium on quote screen when we cancel the Builders risk comprehensive form,XXX-32883,208824,Done,XXX,ANIC P&C Migration,Very High,Peter,Rating,,Coding
Stab 3_BC QA06env MEL_ Cancellation Status remains in Quoted status instead of cancelling status,XXX-32882,208823,Done,XXX,ANIC P&C Migration,Very High,Peter,BillingCenter,,Coding
"Stab3_Rating_Commercial Output_Submission_Unable to issue due to hard stop error ""Missing field Installment Plan""",XXX-32881,208820,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab 3_XXX-31547_PC_CPP_crime_ location screen not able to remove any location,XXX-32879,208817,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
BBB-7319 ||  XYC CropAnalytics_V3 cube failure ,BBB-7879,208814,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
PROD| CorvelTPA had failure from EDW to AccessLayer |07/17,BBB-7878,208812,Done,BBB,EDW Production Operations,Medium,David,,,Coding
UAT1 - IL 09 03 Mine Subsidence Sch - coverage needs to be moved to bldg level,XXX-32877,208811,Cancelled,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
XXX-31551_ stab 3-CPP_CP+Crime +GL-At policy change  getting error for UT for Liquor  in QA5/QA6,XXX-32876,208808,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Not a Defect
UAT1 - When quoting COP submission getting invalid quote was generated error,XXX-32875,208806,Cancelled,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
3.1 P&C ODS - DetailCoverage table - Auto - Vehicle - The column CoverageExpirationdate is Incorrectly populated,AAA-5106,208805,Done,AAA,AAA,High,Williams,,,Coding
QA : ODS-DetailCoverageCrime : PremiumAmount column populated incorrect amounts,AAA-5105,208804,Done,AAA,AAA,Medium,Peter,,,Coding
Stab3_PC Config_CPP LOB_Policy Change_Invalid quote error is coming for Commercial Package LOB while quoting (Policy Change Txn),XXX-32874,208803,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab3_Integ_IA fees is not displayed in charge pattern,XXX-32873,208802,Done,XXX,ANIC P&C Migration,Medium,John,Integrations,,Coding
Stab 3-CPP_CP+Crime +GL-Risks Section is NOT displayed below:Full Bldg./Spl class Value& Full Property Value not displayed after satisfying the req in QA6/QA5,XXX-32872,208801,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3-CPP_CP+Crime +GL-Line Review for_Line coverage not as per req in qa5/qa6,XXX-32871,208800,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab3_Rating_General Liability_Reinstatement_Pro ration factor should NOT be applied in Cost change detail tab for Exposure Manuscript premium,XXX-32870,208798,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
 stab 3_XXX-31550_-CPP_CP+Crime +GL-XXX-31547_crime form not triggering in QA6/QA5,XXX-32869,208796,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_Rating_General Liability_Cancellation_Line level manuscript is NOT displayed in the Cost change detail tab,XXX-32868,208795,Ready for Dev,XXX,ANIC P&C Migration,Low,Peter,PolicyCenter,,Coding
"Stab3_Rating_Commercial Package_New Business_""CR7SaveandZeroOutModifiers_Ext"" not applied to ""Commercial fidelity Schedule Mod"" applicable coverages leading to Schedule Mod applied twice to Term Amount",XXX-32867,208794,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
UAT1 | Amend UI for the Equipment Breakdown limit under IM 7120,XXX-32866,208785,Ready for Dev,XXX,ANIC P&C Migration,Low,Andrea,PolicyCenter,,Coding
SMARTCOMM - P-503 has misspelling in document,EEE-1734,208780,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
UAT1 - Auto Dealers - Covered Vehicle Symbols Are Not Editable,XXX-32861,208779,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
UAT1 - EDP - Incompatible Hardware and Media to be required,XXX-32860,208778,Ready for Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1 | IM 7111 01 12 incorrectly attaching for IM 7106 (only when toggling between IM 7105 and IM 7106),XXX-32859,208777,In UAT,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
UAT1 - EDP Sheduled Limits - Attach Additional Locations Schedule field to populate at 11th premise,XXX-32857,208775,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Policy Documents with WC prefix not displaying correctly in Documents tab,EEE-1733,208766,To Do,EEE,PolicyCenter,High,Williams,PolicyCenter,,Coding
UAT1 - EDP Schedule of Coverages Blanket Limits - Deductible fields should be required,XXX-32851,208765,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
UAT1 - EDP Schedule of Coverages Blanket Limits - Software Limits conflicting requirements,XXX-32850,208764,Requirements,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
UAT1 - Schedule out of order for IM coverages,XXX-32848,208762,In UAT,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Update CorvelTPALockdown table in Production,BBB-7877,208760,Done,BBB,EDW Production Operations,Critical,Williams,,,Coding
UAT1 - Flood Cov - Annual Agg limit factor not being applied in rating,XXX-32847,208758,Cancelled,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Update ANIC Agency Lookup Table (ANICAgencyMapping) - Agency A79,BBB-7874,208749,Done,BBB,EDW Production Operations,Critical,Williams,,,
"Stab3_Rating_Commercial Package_Cancellation_"" CR7ApplyModifiers_PC_Ext"" got triggered twice in RateWorkSheet hence ""Package Mod"" applied twice",XXX-32846,208748,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab3_PC Config_COP_Renewal_Render exception error is coming while clicking the Edit Policy Transaction button on Renewal,XXX-32845,208746,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
PROD| GL Paid Loss- 134 records and GL Written Premium- 1298 records got errored out|07/16,BBB-7873,208745,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
"Stab3_Rating_Commercial Package_New Business_""CR7SaveandZeroOutModifiers_Ext"" not applied to ""Commercial crime Schedule Mod"" applicable coverages leading to Schedule Mod applied twice to Term Amount",XXX-32842,208738,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
 stab 3-CPP_CP+Crime +GL-XXX-31547_CP-[Commercial Property Line (v7)] Multiple Location Premium and Dispersion Credit Factor on Commercial Property Line (v7) has invalid value '1.0000' which is out of range '[0.8500 0.9900]'-not throwing any validation,XXX-32840,208727,Cancelled,XXX,ANIC P&C Migration,Critical,Martin,PolicyCenter,,Coding
Stab3_Integ_Doc Management-Unable to upload any document in the PC if the user chooses the 'Doc Type' as 'PRADV' and 'FILING'. As per the Mule logs Image Now is not accepting these Doc Types.,XXX-32839,208725,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,Integrations,,Not a Defect
Stab3_Rating_Commercial Umbrella_Rewrite Remainder of Term not available in Actions Tab,XXX-32838,208723,Cancelled,XXX,ANIC P&C Migration,Critical,Williams,PolicyCenter,,Coding
Stab3_PC Config_CPP (Crime monoline)_NB_Remove button functionality is not working for all the List of Scheduled Items & when trying to remove & click on Remove button application error is coming on (Crime Screen - Manuscript Premiums Tab),XXX-32837,208718,Ready for QA,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_Digital_CE_User shouldn't see P&C policy to file a claim. Single Account with one policy routing is diversed to Home Page.,XXX-32836,208717,Done,XXX,ANIC P&C Migration,Critical,Williams,Digital,,Coding
Stab3_Rating_Commercial Umbrella_getting render exception while viewing rateworksheet-Policychange,XXX-32835,208715,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
Integ-Jasper-The credit score value is shown as an error in the policy information screen when valid test data added.,YYY-16343,208714,Done,YYY,ANIC WC Migration,Medium,Martin,Integrations,,Environment
"Stab3_PC_MEL_NB- ""Rate mode"" dropdown values are not correct if policy conversion type is other than ""Not Converted""",XXX-32834,208713,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
CP - For HL location - Validation message for limit is not throwing when Windstorm is selected on Building/Special class & corresponding form also not triggered,XXX-32833,208712,Cancelled,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_PC_MEL_NB- PCIC and copy to all jurisdiction - TX state,XXX-32832,208711,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
"Stab3_Integ_Doc Management-Unable to upload any document in the PC via ""Upload Document"" option.",XXX-32831,208710,Cancelled,XXX,ANIC P&C Migration,High,Williams,Integrations,,Coding
Stab3_PC_MEL_NB- policy review screen - coverages and condition are not coming in alphabetical order - MO state,XXX-32830,208709,Done,XXX,ANIC P&C Migration,Low,Peter,PolicyCenter,,Coding
PROD CDA | Newly created tasks had failure in DB Zone for GWPC | 07/16 ,BBB-7872,208702,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
3.1 P&C | ODS Risk PC Table - IM - Incorrect records loaded with UARType = 'N/A' ,AAA-5096,208701,Done,AAA,AAA,Very High,Martin,Stage to AAA,,Coding
ODS_RiskPCInland table RiskPCID - RiskPCInland gets Mutiple matches in RiskPC Table,AAA-5095,208700,New Item,AAA,AAA,Very High,Martin,Stage to AAA,,Coding
QA: ODS-Location: Duplicates records loaded in ODS_PandCLocation table,AAA-5094,208699,New Item,AAA,AAA,High,Martin,,,Coding
QA : ODS-RiskProperty : Duplicates/Extra Records identified in ODS-RiskProperty table,AAA-5093,208698,Done,AAA,AAA,Medium,Peter,,,Coding
Staging - Duplicates in AccountServiceCommitments table ,BBB-7871,208697,Ready For Test,BBB,EDW Production Operations,Medium,David,,,Coding
State Expansion - Add Approved Business Groups To BusinessGroup & BusinessGroupRegion,BBB-7870,208694,New Item,BBB,EDW Production Operations,High,Williams,,,Coding
State Expansion - Add Approved Business Groups to CertificationLayer.dbo.GL_ValidationTable,BBB-7869,208693,New Item,BBB,EDW Production Operations,High,Williams,,,Coding
Gen Update - RBBBrtedBusinessGroupCode & BusinessGroup - Policy 1032421 Policy Eff Dt 2024-07-04,BBB-7868,208691,Done,BBB,EDW Production Operations,Very High,David,,,Coding
Offset/Onset - Policy 1032421 Policy Eff Dt 2024-07-04 In Order To Update Business Group,BBB-7867,208688,Done,BBB,EDW Production Operations,Very High,David,,,Coding
ODS - 4000+ ANIC Claims Showing PolicyStatus as In Force On Expired Policy Terms,BBB-7866,208685,Done,BBB,EDW Production Operations,High,Williams,,,Coding
Date format is DD/MM/YYYY instead of MM/DD/YYYY,XXX-32829,208684,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
3.1 | ODS - Update PAS LOI Logic for LINE_EXPOSURE 260,AAA-5085,208674,Invalid/Duplicate,AAA,AAA,High,Martin,,,Coding
UAT1 - Form IM 7007 (ed. 01 12 and 02 12) - Contractors' Equipment Blanket Equipment Form: Coverages missing in Coverage Extensions and Supplemental Coverage in UI.,XXX-32827,208670,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
PROD | PRDPRIM Backup job failed - 07/13,BBB-7865,208655,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
[Day2] UAT1 - Form IM 7032: Income Coverage Applicable and Radio Buttons should not display under Equipment Schedule when Income Coverage Provided = No (Day2),XXX-32817,208654,Cancelled,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
CP-  Blocking Quote when Special class added with Windstorm with 1% or 2% or 5% & limit requirement is satisfied,XXX-32816,208653,To Do,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
PC Config- IL 12 15 CP not inferring for Umbrella,XXX-32815,208652,Ready for QA,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
UAT1 - Peak Season - need clarification on limits being used for rating,XXX-32814,208651,Blocked,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
"Stab3_Rating_Commercial Package_New Business_UW Company with CA state for submission is not changeable in dropdown and defaulting to ""none""",XXX-32811,208648,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
PROD || EDW PowerBI Subscriptions last step & Back Up job effected on 07/12,BBB-7864,208643,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Control M Prod | PRODREPL Job getting scheduled as Dummy on a daily basis,BBB-7863,208642,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
3.1 ODS | GoverningState misaligned with ExposureStateCode,AAA-5078,208627,Done,AAA,AAA,High,Martin,,,Coding
Stab3_Rating_Commercial Output_Rewrite Full Term_Unable to issue Rewrite due to hard stop error,XXX-32795,208626,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
UAT1 - CA 25 68 MT Emp Ben form # not in payload,XXX-32792,208621,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Stab3_Rating_Commercial Package_Rewrite Remainder of Term not available in Actions Tab,XXX-32791,208620,Done,XXX,ANIC P&C Migration,Critical,Williams,PolicyCenter,,Coding
Stab3_Integ_Prometrix-CPPCP- The protection class value non editable  prometrix states at building level when select the order ppc value as No.,XXX-32790,208613,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,Integrations,,Not a Defect
GWPC - Prestage to landing GWPC Job Failed,DDD-5809,208612,Done,DDD,EDW QA COE,High,Martin,,,Coding
13th July EOD CDA all jobs got failed || Connection Error:com.microsoft.sqlserver.jdbc.SQLServerException,BBB-7862,208609,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab3_Rating_Commercial Output_Policychange_Rate and Premium is incorrectly displayed in the Quote screen,XXX-32789,208605,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
 Stab 3_XXX-31550_PC_CPP_ - New Submission- Payments screen - Check Audit is coming as 'No' by default while as per the requirements it should not have a default value,XXX-32788,208604,Ready for Dev,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
 stab3-XXX-31550_CPP_CP+Crime +GL+COP_AZ UT-- Policy Packet_View button not displayed & Validate User entered data in generated policy document-blocked,XXX-32787,208603,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Environment
 stab3-  XXX-31567_CPP_Crime +GL_ID-- Legal Entity Dropdown options should match with Policy info screen 'Organization Type' dropdown option when Entity Type = Commercial (not matching) ,XXX-32786,208602,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Not a Defect
Prod | GWPC Prestage to Landing Failure due to missing table,BBB-7861,208601,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
3.1 P&C ODS - Risk PC table - AU - Records got dropped,AAA-5073,208600,Done,AAA,AAA,Medium,Williams,,,Coding
stab3-  XXX-31554_CPP_CP+Crime +GL_FL - Base state =  FL then for all locations added on the policy on location screen should have 'Flood Coverage Apply' as 'No' and make it non-editable,XXX-32785,208596,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3-PC-IM-Generate Policy number-System is not throwing any error when a copy submission is performed on a submission where Policy number is generated,XXX-32784,208595,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
Stab3 XXX-31550_CPP_CP+Crime +GL_NewSubmission- UWI - 'MUTHRE not on the policy' is getting triggered even when NAICS code is not starting with '23' QA5/QA6,XXX-32783,208594,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3-  XXX-31550_CPP_CP+Crime +GL_AZUT -UWI-Manuscript Form-is not getting triggered even when triggering condition is fulfilled ( if manuscript is added AND Reason for Form = Manuscript),XXX-32782,208593,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3-PC-IM-Electronic Data Processing-Supplemental coverages- Limit Any One Occurrence is defaulting to 25000 instead of 2500,XXX-32781,208592,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab3-PC-IM-Electronic Data Processing-Foreign Transit and Location Coverage and  Incompatible Hardware and Media  are not displayed,XXX-32780,208591,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Electronic Data Processing-Coverage names are displayed incorrectly Server is getting displayed instead of sewer,XXX-32779,208590,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Electronic Data Processing-Attach Additional Location Schedules is not displayed even though more than 10 locations are added,XXX-32778,208589,Cancelled,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Not a Defect
Stab3-PC-IM-Electronic Data Processing-Schedule of Coverages Income Coverage- Error message not trigerred when user didn't enter any limits,XXX-32777,208588,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3-PC-IM-Electronic Data Processing-EDP Limit field is not displayed,XXX-32776,208587,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
PROD| GL Paid Loss- 04 records got errored out|07/14,BBB-7860,208581,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
PROD| SL Load Daily job failed due to connection issue|07/14,BBB-7858,208579,Done,BBB,EDW Production Operations,Medium,David,,,Coding
PROD| 	D365PremiumDataLoad had failed due to connection issue|07/14,BBB-7857,208578,Done,BBB,EDW Production Operations,Medium,David,,,Coding
stab 3-CPP_CP+Crime +GL-XXX-31547_crime forms not triggering,XXX-32770,208576,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
3.1 ODS - Detail Coverage Duplicates,AAA-5068,208575,Done,AAA,AAA,Very High,David,,,Coding
3.1 ODS - Policy ID = 'null'  ,AAA-5067,208574,Done,AAA,AAA,High,David,,,Coding
stab3- XXX-31550_CPP_CP+Crime +GL_AZUT -- Form should  display camel case letter should not display in capital letter & CR 01 59	08 07 Not triggered_crime,XXX-32769,208573,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
PROD | GWCM started before CDA completed | 07/14,BBB-7856,208572,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Stab3_Rating_Commercial Package_Rewrite_Payment plan is not displayed for Payment Schedule during Rewrite,XXX-32768,208571,Done,XXX,ANIC P&C Migration,Critical,Peter,PolicyCenter,,Coding
UAT1 - All Lines of Business - Invalid Quote During Cancellation Transaction in PC,XXX-32767,208563,Ready for QA,XXX,ANIC P&C Migration,Very High,Peter,Rating,,Coding
LTI - Business Group/Business Unit errors in Production - Root Cause Analysis/Fix,EEE-1706,208557,To Do,EEE,PolicyCenter,Critical,Williams,PolicyCenter,,Coding
UAT1 - EDP Income Coverage Coinsurance should not be displayed on UI,XXX-32762,208538,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Requirements
